area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
2.209 m²,,"En el primer piso se encuentra dos apartamentos con 5 habitaciones y 3 baños, 2 salas comedor y 2 cocinas; el segundo piso es un área grande, tiene un salón de 150 m² con servicio de 4 baños para hombres y 4 baños para mujeres, tiene una terraza grande de 120 m² y dos salones de bodega de 1,20 m² cada uno.",,,,"$ 4.859.800.000
                        ",,,"
            ","Tunja, Boyacá "
,,"Si estás buscando un apartamento en una ubicación central en la ciudad de Tunja, tenemos la oportunidad perfecta para ti. Este apartamento se encuentra en el sector Maldonado, cerca de la glorieta principal, lo que lo convierte en una excelente opción para vivir gracias a su ubicación estratégica. Además, se encuentra cerca del centro de la ciudad, el sector comercial de Unicentro, el estadio y varias universidades, lo que te permitirá tener todo lo que necesitas a pocos minutos de distancia. El edificio cuenta con varias zonas comunes que puedes disfrutar, como un parque infantil y ascensor, además de contar con seguridad las 24 horas para tu tranquilidad. El apartamento en sí consta de dos amplias habitaciones, dos baños (uno privado y otro social), sala, comedor, cocina integral y patio de ropas. Además, tiene un parqueadero y un depósito para tu comodidad. ¡No pierdas la oportunidad de vivir en este excelente apartamento en una ubicación inmejorable en Tunja!",,,,"$ 230.000.000
                        ",,,"
            ","Tunja, Tunja, Boyacá "
720 m²,,"Sensacional casa en zona campestre de 4 pisos con una área construida de 432 mts2 en un terreno total de 720 mts2 cuenta con 6 habitaciones con closets, 6 baños, cuarto estudio, chimenea, cocina integral tipo americano. Jacuzzi en la habitación principal, zona de lavandería. La sala es amplia y espacio de comedor independiente y garaje con puerta eléctrica.",,,,"$ 800.000.000
                        ",,,"
            ","Tunja, Boyacá "
,,"Pertenece al municipio de Soracá ubicada  a pocos metros del campo de golf Potrerillo en un lugar de alto desarrollo cerca al Nuevo Terminal de Tunja y a la 10 minutos de la Casa del Gobernador, con un área de 5380 metros y 280 metros construidos.
Cuenta con: 5 habitaciones con baño y closets de pared a pared, (la habitación principal con Vestier) 6 baños en total. Patio de ropas Cocina integral con mesón de mármol. Alacena interna Depósito interno Sala comedor Sala auxiliar de tv Garaje con capacidad para 10 vehículos
Puerta eléctrica Ventanales de seguridad (todos equipados con blackout o persiana de panel) Nacimiento propio de agua y tanque de reserva. Cuenta con una excelente vista.",,,,"$ 850.000.000
                        ",,,"
            ","Tunja, Boyacá "
,,"Casa ubicada en el barrio Las Quintas cerca al Club de EBSA y cercano al Centro Comercial Centro Norte, y Viva, igualmente a la Universidad Santo Tomás, en un sector comercial de alta valorización.  Cuenta con un área de 101 m² de 3 pisos compuesta de la siguiente manera: En el primer piso, un local grande con baño; en el segundo piso, cuenta con 3 alcobas con closet, la principal con baño privado, cocina integral tipo americana, sala comedor y baño social; y el tercer piso, cuenta con 2 habitaciones y cuarto estudio con altillo amplio.",,,,"$ 600.000.000
                        ",,,"
            ","Las Quintas, Tunja, Boyacá "
,,"Local ubicado en el centro de la ciudad justo en la Plaza de Bolivar de alta afluencia de personas distribuido en 6 oficinas con sala de espera cocina y 2 baños, un lugar ideal para empresas de servicios profesionales.",,,,"$ 2.500.000.000
                        ",,,"
            ","Tunja, Tunja, Boyacá "
,,"Local comercial cerca al Colegio Andino, a la Universidad de Boyacá y Clinica Medilaser, a una cuadra de la zona comercial de los muiscas. El edificio es esquinero con un espacio amplio y baño privado, Cuenta con los servicios de agua, luz y gas. Ideal para empresas del sector de alimentos, de papelería, de insumos farmacéuticos, deportivos dirigidos especialmente al mercado estudiantil.",,,,"$ 195.000.000
                        ",,,"
            ","Los Miuscas, Tunja, Tunja, Boyacá "
94 m²,,"Excelente oportunidad de rentabilidad. Casa ubicada en el sector de Los Hongos cerca de la Avenida Oriental. Consta de 3 apartamentos independientes. El primer piso consta de 2 habitaciones, baño, sala-comedor, patio, cocina y garaje; el segundo piso consta de 3 habitaciones, 2 baños, sala-comedor, patio de ropa y cocina; y el tercer piso consta de 2 habitaciones, 1 baño, sala-comedor, cocina y patio.",,,,"$ 500.000.000
                        ",,,"
            ","Tunja, Boyacá "
,Aparcadero,"Gran Casa de 3 Pisos en el Corazón de TunjaEsta imponente casa de tres pisos, ubicada en el animado barrio Popular de Tunja, ofrece una amplia oportunidad para vivir cómodamente en el centro de la ciudad. Con un área generosa de 332 m², esta casa es ideal para familias grandes o inversores.El interior de la casa se distribuye en 10 habitaciones y 5 baños, lo que proporciona un amplio espacio para adaptarlo a tus necesidades. Además de las áreas de descanso, encontrarás una sala, comedor y cocina. La zona de lavandería ofrece comodidad adicional. Para aquellos que requieren estacionamiento, la casa incluye un garaje. Esta propiedad es perfecta para quienes desean estar cerca de las comodidades del centro de Tunja, con todas las facilidades que ofrece una casa de múltiples pisos. ¡Contáctanos hoy para obtener más información!",,,,"$ 840.000.000
                        ",,,"
            ","Tunja, Boyacá "
162 m²,,"Casa a 2 minutos del Centro histórico de Tunja y cerca de La Plaza Real. Cuenta con un área 162 m² de los cuales 112 m² están construidos. Consta de dos pisos distribuidos de la siguiente forma: Primer piso tiene sala-comedor, cocina, patio de ropas de dos niveles baño social, 1 habitación y cuarto auxiliar. En el segundo piso cuenta con 1 habitación principal con excelente iluminación, baño privado, 2 habitaciones y 1 baño social. Adicionalmente, la propiedad es apta para construir y realizar las modificaciones que se deseen y puede ser usada también con fines comerciales.",,,,"$ 400.000.000
                        ",,,"
            ","Tunja, Boyacá "
137 m²,,"Apartamento dúplex de 2 niveles ubicado Manzanares cerca al Innovo Plaza y zona de colegios consta en el primer nivel de sala comedor, cocina integral, balcón, 2 habitaciones con closet, baño privado y un baño social. En el segundo nivel 1 alcoba, 1 baño privado y terraza. El edificio cuenta con parqueadero, depósito, salón social con una terraza amplia.",,,,"$ 327.700.000
                        ",,,"
            ","Tunja, Boyacá "
